Index,Version ID,Version Name,Date
1,12326452,0.9.2-incubating,2014-06-25
2,12326788,0.9.1-incubating,2014-02-10
3,12326789,0.9.0.1,2013-12-06
4,12327112,0.9.3,2014-11-25
5,12327123,0.10.0,2015-11-05
6,12329548,0.9.4,2015-03-25
7,12329843,1.0.0,2016-04-12
8,12332476,0.9.5,2015-06-04
9,12333021,0.9.6,2015-11-05
10,12334140,0.10.1,2016-05-05
11,12334657,2.0.0,2019-05-30
12,12335587,1.0.1,2016-05-06
13,12335675,0.10.2,2016-09-14
14,12335747,1.0.2,2016-08-10
15,12335748,1.1.0,2017-03-29
16,12337341,1.0.3,2017-02-14
17,12339564,1.0.4,2017-07-28
18,12339656,1.1.1,2017-08-01
19,12341047,1.2.0,2018-02-15
20,12341265,1.1.2,2018-02-15
21,12341278,1.0.5,2017-09-15
22,12341596,1.0.6,2018-02-14
23,12342364,0.9.7,2016-09-07
24,12342766,1.2.1,2018-02-15
25,12342767,1.1.3,2018-06-04
26,12342807,1.2.2,2018-06-04
27,12343340,1.2.3,2019-07-19
28,12345449,1.2.4,2021-10-11
29,12345999,2.1.0,2019-10-31
30,12346055,2.2.0,2020-06-30
31,12346669,2.1.1,2021-10-14
32,12348353,2.3.0,2021-09-27
33,12348559,2.2.1,2021-10-11
34,12350695,2.4.0,2022-03-25
35,12351557,2.5.0,2023-08-04
36,12353484,2.6.0,2023-11-16
37,12353868,2.6.1,2024-02-02
38,12354435,2.6.2,2024-04-05
